MS,Accel X (m/s²),Accel Y (m/s²),Accel Z (m/s²),Gyro X (°/s),Gyro Y (°/s),Gyro Z (°/s),Temp (°C)
2480,6.952762,1.814805,-1.948880,-32.073975,21.087646,-3.479004,27.255859
2520,7.513005,1.493982,-2.126051,-10.314941,9.826660,-3.906250,27.269531
2560,8.331821,1.254562,-1.359907,17.547607,-8.575439,-3.173828,27.257812
2600,9.279925,1.039083,-0.311246,30.364990,5.065918,3.143311,27.259766
2640,10.477027,1.470040,-0.727837,18.890381,25.726318,9.429932,27.257812
2680,11.841722,2.111686,-1.403002,22.277832,34.240723,-0.183105,27.275391
2720,12.794614,0.794875,-1.278504,7.873535,81.481934,10.223389,27.267578
2760,11.856087,2.614468,-4.788404,11.474609,-23.651123,8.880615,27.271484
2800,9.414001,2.777274,-5.841852,57.952881,0.549316,-3.875732,27.292969
2840,8.178593,1.221043,-6.023811,118.743896,-27.984619,-14.343262,27.291016
2880,8.757990,0.651223,-5.564125,88.531494,-20.263672,-8.514404,27.263672
2920,8.422802,0.809240,-3.514688,47.332764,-16.204834,-5.401611,27.291016
2960,7.426814,0.924162,-2.494758,34.210205,-11.840820,-6.652832,27.263672
3000,7.153875,1.029507,-2.987964,34.362793,-14.404297,-11.413574,27.281250
3040,7.690176,1.024718,-3.213019,37.139893,-15.045166,-14.709473,27.283203
3080,8.647857,0.670376,-2.628834,24.383545,-8.605957,-14.282227,27.281250
3120,9.299079,0.253785,-1.958457,14.251709,0.488281,-12.390137,27.269531
3160,9.198523,0.277727,-2.346318,0.640869,4.974365,-5.493164,27.296875
3200,9.433155,0.565032,-2.700660,-8.941650,13.885498,2.655029,27.294922
3240,10.443508,-0.407014,-2.437297,2.655029,11.810303,2.441406,27.283203
3280,11.166556,-1.312023,-2.279280,-4.852295,14.343262,6.378174,27.273438
3320,11.496957,-0.814029,-3.303998,-4.425049,13.031006,11.016846,27.261719
3360,11.104307,0.296881,-4.132392,0.366211,12.298584,7.690430,27.308594
3400,9.519346,1.546654,-4.467580,-12.023926,-1.495361,0.030518,27.298828
3440,8.542512,4.237737,-3.988740,-24.414062,-6.011963,-8.636475,27.267578
3480,8.868123,5.631162,-2.877831,-7.873535,1.373291,-13.000488,27.296875
3520,9.591172,3.165135,-3.174711,11.260986,2.960205,-18.188477,27.296875
3560,9.284714,0.502782,-2.633622,-25.756836,17.517090,-8.819580,27.306641
3600,8.078036,1.072602,-1.541866,-35.552979,13.519287,-6.622314,27.300781
3640,7.374141,2.145205,-1.728614,-12.207031,16.815186,-4.882812,27.310547
