MS,Accel X (m/s²),Accel Y (m/s²),Accel Z (m/s²),Gyro X (°/s),Gyro Y (°/s),Gyro Z (°/s),Temp (°C)
1600,8.264784,1.374272,-4.726154,27.587891,-7.080078,-8.453369,27.787109
1640,8.202535,1.920150,-4.343082,34.057617,-17.578125,-8.972168,27.777344
1680,8.825027,1.647211,-3.529053,38.299561,-16.906738,-14.831543,27.769531
1720,8.858546,1.513135,-3.093309,46.875000,-10.192871,-18.524170,27.777344
1760,8.293514,1.584962,-2.973598,43.518066,-10.345459,-13.061523,27.775391
1800,8.054094,1.877054,-2.997540,41.107178,-14.587402,-10.681152,27.783203
1840,8.532935,2.226608,-3.026271,38.726807,-16.723633,-8.483887,27.775391
1880,9.088389,2.073379,-2.619257,29.724121,-4.608154,-3.845215,27.777344
1920,9.184157,2.044648,-2.638410,25.573730,-0.335693,-1.251221,27.779297
1960,9.299079,2.111686,-2.523489,28.991699,3.936768,-4.119873,27.777344
2000,9.739613,2.308010,-2.504335,24.475098,8.972168,-7.965088,27.775391
2040,10.587160,2.379837,-2.346318,23.040771,19.592285,-10.162354,27.785156
2080,11.224017,2.303222,-2.145205,26.519775,28.564453,-13.610840,27.781250
2120,11.908759,2.030283,-3.145981,22.277832,43.914795,-11.840820,27.787109
2160,10.769119,1.781286,-5.257667,12.023926,29.937744,-3.356934,27.789062
2200,8.020576,-0.153229,-5.746084,19.592285,2.960205,-1.220703,27.775391
2240,8.394072,-1.671153,-4.209007,2.349854,6.439209,8.453369,27.794922
2280,9.806650,-0.105345,-3.112462,-0.762939,12.542725,10.314941,27.779297
2320,9.006987,0.837971,-3.184288,8.422852,11.047363,10.650635,27.792969
2360,7.580042,0.713472,-3.011906,0.549316,3.662109,12.176514,27.781250
2400,7.244854,0.019154,-2.451663,-1.556396,-2.990723,10.833740,27.781250
2440,8.063671,-0.105345,-2.303222,2.532959,-2.838135,6.256104,27.804688
2480,8.604761,0.225055,-2.111686,3.753662,-1.190186,0.366211,27.808594
2520,8.829816,0.316035,-1.771709,3.906250,4.516602,-7.446289,27.796875
2560,8.939949,0.459687,-1.786075,1.861572,7.781982,-11.138916,27.804688
2600,9.706094,0.536301,-1.896208,-11.596680,2.716064,-0.244141,27.800781
2640,10.826580,1.082179,-1.575385,-20.568848,-1.312256,7.659912,27.826172
2680,11.463438,1.699883,-0.814029,-41.687012,4.852295,7.080078,27.796875
2720,11.832145,1.632846,-1.522712,-39.916992,14.221191,-0.579834,27.812500
2760,11.463438,0.023942,-3.323152,-8.087158,21.057129,-14.068604,27.820312
2800,9.931149,-1.398214,-3.825934,-1.403809,7.385254,-4.150391,27.816406
2840,8.015787,-0.608127,-4.390966,-18.157959,-3.234863,-1.800537,27.808594
2880,8.111555,1.853112,-5.090073,1.434326,-8.514404,-14.373779,27.816406
2920,9.916783,1.810017,-3.768473,7.934570,-19.592285,-11.688232,27.816406
2960,9.572019,0.866701,-2.695871,22.460938,-6.652832,-16.967773,27.796875
3000,7.781156,0.445322,-2.442086,25.604248,-13.336182,-13.427734,27.814453
3040,7.216124,0.727837,-2.398990,28.656006,-16.540527,-10.162354,27.810547
3080,7.939173,1.551443,-2.394202,22.094727,-16.601562,-7.019043,27.818359
3120,8.786720,1.843535,-2.322376,24.230957,-13.397217,-1.220703,27.820312
3160,9.016563,1.556231,-2.149993,17.913818,-6.042480,4.638672,27.837891
3200,8.906430,1.604115,-2.312799,21.026611,-4.577637,1.831055,27.828125
3240,9.466674,2.126051,-2.557007,26.489258,1.556396,-7.080078,27.845703
3280,10.520123,2.403779,-2.427721,38.421631,3.662109,-14.282227,27.816406
3320,11.616667,1.924938,-1.513135,41.046143,18.798828,-16.662598,27.820312
3360,11.851298,2.446874,-2.015918,19.714355,31.585693,-8.239746,27.837891
3400,11.334151,2.149993,-3.931279,17.303467,31.250000,-3.021240,27.826172
3440,8.662222,1.254562,-5.564125,20.996094,-5.157471,-0.823975,27.826172
3480,7.469909,-0.823605,-4.788404,16.265869,-8.819580,-1.373291,27.830078
3520,10.132261,-1.369483,-3.189077,5.584717,3.601074,6.256104,27.822266
3560,10.524911,0.574608,-2.834735,8.026123,11.840820,10.406494,27.837891
3600,8.159439,1.158794,-3.083732,-4.272461,4.791260,19.226074,27.914062
3640,6.296751,0.761356,-2.667141,-10.620117,-9.765625,18.280029,27.882812
3680,6.708553,-0.124498,-2.097321,-4.119873,-11.108398,12.207031,27.888672
3720,7.905654,-0.062249,-2.020706,-1.281738,-8.850098,2.777100,27.900391
3760,8.829816,0.440533,-1.470040,0.549316,-3.479004,-7.843018,27.886719
3800,9.404425,0.761356,-1.493982,-10.162354,-0.122070,-8.789062,27.886719
3840,10.596737,1.302446,-1.939303,-25.543213,0.640869,2.349854,27.876953
3880,11.999739,1.924938,-1.163582,-46.020508,2.655029,15.502930,27.904297
3920,12.473791,2.375048,-1.149217,-65.307617,15.289307,9.521484,27.914062
3960,11.961432,0.416591,-3.749320,-25.360107,29.876709,-13.092041,27.906250
4000,9.864111,-1.810017,-4.793192,-6.011963,12.878418,-5.676270,27.921875
4040,8.087613,-0.775721,-5.319916,-25.665283,-11.413574,3.234863,27.906250
4080,8.427590,1.561020,-5.865794,-3.570557,-3.356934,-17.364502,27.927734
