MS,Accel X (m/s²),Accel Y (m/s²),Accel Z (m/s²),Gyro X (°/s),Gyro Y (°/s),Gyro Z (°/s),Temp (°C)
3880,3.787627,9.787497,0.454898,8.453369,-8.636475,13.244629,33.546875
3920,3.519476,8.475474,0.497994,-1.678467,0.152588,11.932373,33.507812
3960,2.968810,7.867347,0.344765,-10.009766,2.044678,5.035400,33.550781
4000,3.232172,7.967903,-0.043096,-12.512207,-1.007080,0.152588,33.556641
4040,3.864242,8.327033,-0.033519,-14.129639,-0.152588,-4.150391,33.560547
4080,3.773262,8.231265,0.076614,-11.474609,5.981445,-6.652832,33.558594
4120,3.524265,8.370130,0.359130,-8.026123,12.512207,-2.288818,33.535156
4160,3.835511,9.289502,0.622492,-6.561279,21.179199,4.516602,33.566406
4200,5.123591,10.414778,0.497994,-0.946045,24.047852,5.371094,33.541016
4240,6.459556,11.420342,1.254562,-22.308350,11.474609,2.807617,33.548828
4280,6.588843,12.406754,1.398214,5.462646,6.347656,8.972168,33.548828
4320,4.568137,11.051635,1.747767,44.921875,-6.744385,13.122559,33.568359
4360,0.483629,7.991845,2.240973,10.253906,-10.406494,-4.608154,33.566406
4400,0.153229,7.829040,1.517924,-47.119141,-1.770020,-13.153076,33.552734
4440,2.336741,9.821015,1.163582,-35.003662,-3.845215,-11.688232,33.560547
4480,3.088520,9.739613,1.154005,-7.934570,-9.460449,-10.681152,33.570312
4520,2.686294,7.963115,0.809240,-25.024414,-6.256104,-14.068604,33.576172
4560,2.193089,7.417237,0.555455,-42.968750,3.265381,-22.003174,33.576172
4600,1.972822,7.833828,0.478840,-25.604248,1.312256,-14.312744,33.576172
4640,1.915361,8.293514,0.076614,14.617920,-11.596680,1.007080,33.646484
4680,2.590526,8.748413,-0.378284,5.981445,-26.275635,2.929688,33.630859
4720,3.763685,10.041282,0.191536,-0.335693,-21.148682,-2.563477,33.628906
4760,3.706224,12.229582,0.105345,10.864258,-17.456055,-9.613037,33.625000
4800,3.725378,13.024457,0.335188,-0.488281,-24.749756,-12.878418,33.632812
4840,4.232949,12.378023,2.710236,-1.739502,19.073486,-24.353027,33.646484
4880,1.963245,9.576807,4.156334,29.693604,-26.428223,6.164551,33.640625
4920,2.489970,8.149862,4.797980,-17.730713,-39.794922,2.716064,33.648438
4960,3.801992,8.935161,4.141969,7.690430,-10.772705,18.554688,33.654297
5000,3.509900,10.017340,1.924938,30.517578,-10.681152,23.590088,33.652344
5040,2.571373,8.169016,0.766145,20.019531,-15.014648,15.136719,33.650391
5080,2.039860,6.133945,1.101333,-0.122070,6.469727,6.103516,33.646484
5120,2.197877,6.057330,0.986411,-12.023926,10.742188,-0.671387,33.648438
5160,3.088520,7.144298,0.421380,-13.854980,11.413574,1.098633,33.648438
5200,3.883395,8.245630,0.090980,-0.823975,25.726318,6.500244,33.640625
5240,3.744531,8.978256,0.727837,16.571045,34.851074,12.207031,33.666016
5280,4.917690,10.117896,0.770933,11.718750,37.231445,18.402100,33.638672
5320,6.540959,11.410766,0.555455,34.790039,39.093018,24.169922,33.654297
5360,5.434838,12.014104,2.164358,49.652100,39.245605,24.291992,33.656250
5400,3.031059,10.520123,3.476381,55.114746,37.780762,29.357910,33.677734
5440,1.216254,9.753978,2.537854,-5.767822,34.149170,8.148193,33.664062
5480,2.456451,11.669339,1.043872,0.579834,54.199219,-5.096436,33.666016
5520,3.854665,11.003751,0.885855,37.750244,35.461426,1.586914,33.666016
5560,2.595315,8.082825,1.312023,34.332275,27.160645,-2.685547,33.667969
5600,1.134852,6.181829,0.727837,29.602051,27.893066,-13.610840,33.685547
5640,1.412579,5.865794,0.181959,5.493164,19.042969,-15.167236,33.658203
5680,2.264915,6.473921,0.028730,-18.524170,-3.875732,-13.153076,33.667969
5720,2.839523,7.575254,-0.814029,-12.237549,-27.648926,-7.690430,33.667969
5760,4.903325,8.973468,-1.216254,-26.062012,-30.548096,3.906250,33.656250
5800,5.956774,10.821792,-0.617704,-36.315918,-19.622803,1.342773,33.658203
5840,3.572149,13.441049,-0.215478,-31.127930,-16.876221,-12.939453,33.671875
5880,3.021482,13.862428,2.312799,-37.017822,35.736084,-17.822266,33.675781
5920,1.015141,10.381259,3.634398,34.484863,25.726318,4.943848,33.675781
5960,1.733402,9.112331,4.730943,2.990723,37.200928,2.929688,33.701172
6000,3.557784,9.299079,4.888960,14.556885,16.235352,14.282227,33.705078
6040,4.367024,9.461885,2.389413,32.562256,-19.775391,29.449463,33.667969
6080,3.758897,8.178593,0.703895,16.204834,1.922607,14.678955,33.677734
6120,2.911349,6.636727,1.019930,-1.464844,27.282715,7.385254,33.695312
6160,2.729390,6.330269,0.761356,-6.286621,19.012451,4.791260,33.695312
6200,3.801992,6.794744,0.502782,-12.390137,6.042480,-0.671387,33.681641
6240,4.970363,7.541735,0.258574,1.098633,-2.380371,-4.425049,33.687500
6280,5.061342,8.054094,0.541090,7.446289,-8.697510,1.525879,33.695312
6320,4.745308,9.236830,1.015141,-0.579834,-7.141113,-0.030518,33.691406
