MS,Accel X (m/s²),Accel Y (m/s²),Accel Z (m/s²),Gyro X (°/s),Gyro Y (°/s),Gyro Z (°/s),Temp (°C)
1440,6.833052,-1.077391,-4.908113,52.337646,-5.584717,-43.701172,40.464844
1480,7.307104,-0.335188,-4.702212,54.290771,-5.584717,-40.618896,40.466797
1520,7.991845,-0.387861,-4.299986,55.633545,-12.603760,-30.761719,40.451172
1560,8.159439,-0.316035,-4.453215,53.161621,-13.031006,-25.817871,40.443359
1600,8.322245,-0.244209,-4.376601,54.290771,-10.375977,-26.458740,40.455078
1640,8.767567,0.124498,-4.271256,49.987793,-8.514404,-30.670166,40.462891
1680,9.461885,0.086191,-4.247314,48.034668,-0.396729,-36.499023,40.488281
1720,10.352529,-0.354342,-3.940856,55.969238,12.512207,-39.154053,40.478516
1760,10.860099,-1.010353,-4.276044,60.791016,36.590576,-40.802002,40.478516
1800,10.802638,-1.312023,-6.224925,48.675537,33.233643,-26.855469,40.468750
1840,8.556877,-1.101333,-7.565677,53.619385,-15.258789,-20.843506,40.486328
1880,7.110779,-3.634398,-6.315904,57.067871,-29.479980,-15.472412,40.458984
1920,8.341399,-4.266468,-5.319916,53.192139,-17.822266,-7.568359,40.449219
1960,8.825027,-2.375048,-5.305551,61.431885,-15.777588,-6.927490,40.484375
2000,7.714118,-1.446098,-4.922479,57.617188,-16.510010,-6.164551,40.466797
2040,6.560112,-1.359907,-4.232949,45.501709,-19.531250,0.610352,40.451172
2080,6.291962,-1.695095,-3.993528,30.242920,-13.336182,5.493164,40.472656
2120,7.019799,-1.752556,-4.046201,24.475098,-16.815186,6.378174,40.458984
2160,7.623138,-1.685518,-3.869030,14.526367,1.007080,-4.699707,40.460938
2200,8.236053,-1.508347,-3.596091,6.317139,14.099121,-14.495850,40.457031
2240,8.705317,-1.594538,-3.682282,3.784180,7.812500,-13.671875,40.449219
2280,8.935161,-1.723825,-3.916914,-2.044678,-1.983643,-7.598877,40.449219
2320,9.581595,-1.479617,-3.758897,-3.967285,-8.270264,-4.211426,40.480469
