MS,Accel X (m/s²),Accel Y (m/s²),Accel Z (m/s²),Gyro X (°/s),Gyro Y (°/s),Gyro Z (°/s),Temp (°C)
2200,-9.160215,-3.227384,-0.067038,-3.601074,-4.608154,2.258301,30.929688
2240,-9.294291,-3.193865,0.272939,3.875732,-4.089355,2.532959,30.939453
2280,-9.313444,-3.059790,0.330400,1.861572,-6.958008,2.777100,30.937500
2320,-9.323022,-3.078943,0.148441,-8.392334,-11.535645,0.885010,30.933594
2360,-9.275137,-3.246537,0.277727,0.488281,-9.796143,-3.143311,30.935547
2400,-9.437943,-3.160346,0.684742,15.869141,-5.279541,-4.669189,30.964844
2440,-9.662998,-2.384625,0.541090,19.927979,-7.049561,2.105713,30.949219
2480,-9.461885,-1.757344,0.047884,2.716064,-19.226074,7.385254,30.947266
2520,-9.318233,-1.996764,0.023942,-64.483643,-33.081055,10.162354,30.953125
2560,-9.232041,-2.777274,0.411803,-39.154053,-25.482178,3.387451,30.941406
2600,-9.165004,-2.935291,0.842759,-0.122070,-25.360107,-1.068115,30.949219
2640,-9.361329,-2.427721,0.775721,4.608154,-37.109375,2.227783,30.962891
2680,-9.385271,-2.030283,0.335188,10.711670,-39.184570,1.892090,30.978516
2720,-9.548077,-1.699883,0.000000,6.591797,-37.506104,-1.739502,30.972656
2760,-9.624691,-1.987187,0.272939,-27.923584,-23.651123,-3.936768,30.953125
2800,-9.514558,-2.523489,0.799663,-37.963867,-15.319824,-6.805420,30.978516
2840,-9.816227,-2.303222,1.628057,4.486084,-12.847900,-7.568359,30.976562
2880,-10.788273,-2.054225,1.268927,-30.609131,-112.396240,2.532959,30.992188
2920,-11.621455,-2.288857,-0.306458,-40.863037,20.477295,-3.906250,30.992188
2960,-11.875240,-0.976834,-0.081403,-7.476807,52.612305,3.387451,31.001953
3000,-11.784261,-0.272939,-0.090980,-18.585205,74.371338,25.329590,30.970703
3040,-10.472239,-2.403779,-1.599327,-70.220947,110.076904,35.522461,31.005859
3080,-9.370906,-4.874595,-1.647211,-142.242432,83.221436,41.137695,30.990234
3120,-9.595961,-5.822699,0.727837,-140.258789,67.779541,47.119141,30.970703
3160,-10.496181,-3.725378,1.005565,-98.327637,34.423828,48.126221,30.984375
3200,-10.836157,-0.478840,-0.076614,-164.001465,-49.346924,68.359375,31.009766
3240,-9.461885,-1.604115,-1.230620,1.678467,39.245605,73.822021,30.988281
3280,-8.293514,-1.661576,-0.837971,64.300537,64.514160,64.483643,31.001953
3320,-7.259220,-2.154782,-0.349553,40.985107,10.681152,50.079346,30.994141
3360,-6.497863,-2.336741,-0.742203,47.210693,-19.775391,25.878906,30.996094
3400,-5.837064,-2.269703,-1.522712,61.035156,-22.674561,-7.995605,30.994141
3440,-6.497863,-1.498770,-2.523489,85.296631,-17.395020,-34.973145,31.000000
3480,-9.892841,1.771709,-4.132392,62.408447,-14.953613,-14.984131,31.013672
3520,-13.254301,4.577713,-4.730943,-0.915527,-6.958008,17.364502,31.017578
3560,-11.362882,2.638410,-3.495534,33.142090,-5.065918,19.561768,31.013672
3600,-9.524135,-0.311246,-1.872266,27.282715,-56.915283,-19.897461,31.025391
3640,-12.076353,-3.888184,-1.244985,-36.346436,4.394531,-26.275635,31.033203
3680,-10.793061,-5.008670,-0.627281,24.444580,-25.665283,-14.007568,31.023438
3720,-7.608773,-4.979939,0.081403,16.967773,-133.056641,-41.931152,31.017578
3760,-8.652645,-4.515464,1.613692,76.599121,57.189941,-74.401855,31.046875
3800,-8.920795,-3.907337,2.298434,109.832764,51.757812,-81.054688,31.033203
3840,-9.035717,-4.003105,2.528277,116.699219,9.887695,-63.903809,31.031250
3880,-9.725247,-2.537854,1.867477,104.919434,-10.223389,-30.487061,31.031250
3920,-9.299079,-1.355118,-0.766145,-41.961670,-81.787109,-17.669678,31.039062
3960,-9.064447,-0.928950,-1.795651,49.713135,-10.284424,-12.817383,31.046875
4000,-9.227253,-0.857124,-0.794875,40.985107,-7.812500,-11.413574,31.070312
4040,-9.232041,-1.747767,0.316035,-60.516357,-31.585693,-7.293701,31.046875
4080,-9.141062,-2.561796,-0.057461,-63.140869,-24.017334,-11.474609,31.042969
