MS,Accel X (m/s²),Accel Y (m/s²),Accel Z (m/s²),Gyro X (°/s),Gyro Y (°/s),Gyro Z (°/s),Temp (°C)
2120,-1.106121,8.623915,-1.776498,-8.270264,7.446289,0.762939,27.816406
2160,-0.986411,8.781932,-2.054225,-4.455566,11.474609,3.784180,27.818359
2200,-1.134852,8.719683,-2.121263,-1.098633,13.519287,2.929688,27.814453
2240,-1.335965,9.141062,-2.217031,4.943848,15.838623,-2.136230,27.826172
2280,-1.551443,9.758766,-1.996764,-2.166748,19.470215,-5.828857,27.800781
2320,-1.618480,10.204087,-1.805228,-8.453369,18.402100,-4.913330,27.814453
2360,-1.522712,10.352529,-2.164358,-8.178711,15.991211,-5.523682,27.824219
2400,-1.522712,10.505757,-2.451663,-9.796143,18.920898,-5.950928,27.808594
2440,-1.211466,11.051635,-2.140416,-5.432129,26.336670,-3.967285,27.826172
2480,-0.636858,11.027693,-1.977611,1.525879,29.815674,-0.488281,27.818359
2520,-0.071826,10.280702,-2.652776,8.819580,16.510010,-10.589600,27.816406
2560,-0.181959,9.184157,-2.748544,-8.636475,11.596680,-15.350342,27.816406
2600,-0.277727,8.978256,-2.173935,-1.098633,15.411377,1.281738,27.808594
2640,-0.047884,9.327810,-1.728614,5.859375,21.881104,9.368896,27.816406
2680,-0.239420,8.987833,-1.929727,4.608154,17.395020,3.753662,27.837891
2720,-0.656011,8.647857,-2.183512,3.326416,9.948730,-8.148193,27.824219
2760,-1.101333,8.609550,-1.651999,0.885010,8.636475,-4.089355,27.833984
2800,-1.302446,8.667010,-1.441309,5.706787,7.232666,7.720947,27.841797
2840,-1.230620,8.978256,-1.915361,9.063721,4.150391,9.643555,27.826172
2880,-1.096544,9.639056,-1.968034,4.150391,0.610352,3.204346,27.832031
2920,-1.230620,9.998186,-1.379060,-0.793457,-6.225586,-4.455566,27.845703
2960,-1.455675,10.070012,-1.063026,-5.584717,-9.643555,-5.493164,27.828125
3000,-1.379060,10.285490,-1.613692,-4.852295,-10.925293,-2.899170,27.839844
3040,-1.278504,10.376471,-2.154782,3.540039,-10.009766,-4.089355,27.845703
3080,-1.651999,10.424355,-2.240973,15.075684,-9.490967,-3.173828,27.837891
3120,-1.723825,11.042058,-2.983175,18.127441,-16.479492,2.319336,27.845703
3160,-0.842759,11.449073,-3.548207,5.615234,-20.935059,-4.028320,27.824219
3200,-0.052672,10.558430,-2.882619,-14.343262,-23.925781,-6.988525,27.865234
3240,-0.177171,9.203311,-2.485181,-14.709473,-25.726318,6.317139,27.845703
3280,-0.450110,8.805874,-2.973598,-7.080078,-19.042969,19.226074,27.841797
3320,-0.191536,9.433155,-2.968810,0.854492,-6.927490,12.084961,27.845703
3360,-0.368707,9.097966,-1.958457,-2.685547,-7.690430,-1.068115,27.851562
3400,-0.976834,8.441956,-1.465251,-7.934570,-7.080078,-0.488281,27.876953
3440,-1.235408,8.322245,-1.781286,-8.209229,-1.098633,5.767822,27.871094
3480,-1.249773,8.255207,-1.953669,-4.974365,0.762939,6.927490,27.871094
3520,-1.259350,8.489840,-2.044648,-2.288818,3.204346,2.502441,27.876953
3560,-1.383849,9.179369,-2.001553,-2.227783,7.385254,-2.838135,27.861328
3600,-1.465251,10.074800,-1.867477,-5.859375,12.084961,-0.579834,27.859375
3640,-1.225831,10.860099,-1.948880,-4.486084,15.655518,-0.274658,27.855469
3680,-1.278504,11.008539,-2.068590,-2.349854,20.721436,-0.488281,27.869141
3720,-0.981623,11.516110,-2.226608,6.774902,30.242920,0.152588,27.857422
3760,-0.019154,11.832145,-2.456451,11.413574,29.388428,-3.143311,27.898438
3800,0.397437,10.448297,-2.475605,1.037598,19.073486,-17.059326,27.880859
3840,0.177171,8.848969,-2.178724,-7.141113,16.204834,-14.831543,27.896484
3880,0.220267,8.877700,-1.580173,3.540039,17.669678,0.244141,27.878906
3920,0.138864,9.011775,-1.422156,1.281738,16.418457,9.246826,27.876953
3960,-0.258574,8.614338,-1.968034,1.739502,12.268066,3.753662,27.886719
4000,-0.632069,8.494628,-1.958457,2.960205,8.758545,-3.631592,27.902344
4040,-0.847547,8.777143,-1.388637,2.685547,4.577637,-0.885010,27.896484
4080,-1.019930,8.829816,-1.302446,6.835938,0.457764,4.486084,28.000000
4120,-1.077391,9.198523,-1.738190,8.178711,-1.159668,1.007080,27.972656
4160,-1.149217,9.739613,-1.647211,3.601074,-4.974365,-6.072998,27.978516
4200,-1.335965,10.084377,-1.067814,1.922607,-10.528564,-5.310059,27.986328
4240,-1.254562,10.491392,-1.225831,-0.091553,-14.068604,-2.044678,28.001953
4280,-1.130063,10.649409,-1.944092,3.509521,-12.573242,-2.807617,28.007812
