MS,Accel X (m/s²),Accel Y (m/s²),Accel Z (m/s²),Gyro X (°/s),Gyro Y (°/s),Gyro Z (°/s),Temp (°C)
1080,-8.844181,1.120486,-3.189077,-0.640869,42.602539,4.150391,29.654297
1120,-8.604761,0.459687,-3.031059,0.762939,35.125732,5.615234,29.648438
1160,-8.350976,0.373495,-3.423708,10.528564,35.217285,-6.927490,29.644531
1200,-7.824251,0.536301,-4.003105,8.148193,-2.441406,0.762939,29.669922
1240,-7.723695,0.737414,-4.185065,-2.410889,-23.895264,-4.058838,29.646484
1280,-8.820239,0.708684,-4.486734,11.627197,-38.940430,-8.117676,29.666016
1320,-11.578360,1.268927,-4.994305,3.723145,-22.857666,-2.990723,29.666016
1360,-10.419566,1.134852,-3.873818,28.076172,-33.905029,-24.932861,29.662109
1400,-7.819463,1.843535,-0.823605,11.596680,-95.031738,3.845215,29.681641
1440,-10.304645,-0.746991,0.191536,89.447021,-110.626221,-0.061035,29.650391
1480,-9.739613,0.244209,0.316035,-5.584717,-68.634033,27.252197,29.666016
1520,-9.600749,0.895431,-0.086191,5.676270,-64.392090,33.325195,29.687500
1560,-9.983821,0.665588,0.306458,7.690430,-53.680420,15.563965,29.669922
1600,-10.007763,0.478840,0.756568,14.190674,-54.565430,6.378174,29.679688
1640,-9.662998,1.264138,0.474052,3.540039,-44.799805,5.981445,29.662109
1680,-9.538500,0.775721,0.598550,13.275146,-41.961670,9.643555,29.685547
1720,-9.897630,-0.330400,1.197101,17.944336,-34.851074,5.859375,29.689453
1760,-10.199299,-0.320823,0.660800,22.735596,-18.493652,0.152588,29.699219
1800,-9.868899,0.469264,0.933739,25.451660,-24.566650,-5.340576,29.693359
1840,-9.428367,0.924162,1.455675,23.529053,-27.618408,-2.075195,29.693359
1880,-9.466674,0.761356,1.465251,24.536133,-32.623291,-5.615234,29.695312
1920,-9.504981,0.507571,1.532289,17.028809,-40.008545,-7.202148,29.693359
1960,-9.409213,0.531513,1.522712,29.479980,-32.928467,-4.577637,29.681641
2000,-9.619903,0.507571,1.661576,17.700195,-28.717041,0.030518,29.710938
2040,-9.835381,0.177171,1.762132,9.948730,-31.311035,-0.091553,29.701172
2080,-9.959879,-0.162806,1.824382,27.740479,-29.541016,-5.584717,29.708984
2120,-10.280702,-0.014365,1.838747,36.132812,-22.766113,-14.160156,29.691406
2160,-10.390836,0.296881,0.636858,48.217773,4.425049,-6.622314,29.714844
2200,-10.606314,-0.205901,0.363919,5.126953,17.120361,7.812500,29.708984
2240,-11.458650,-0.962469,0.282516,8.514404,35.858154,-0.823975,29.724609
2280,-11.587936,-0.890643,0.555455,9.979248,78.552246,-12.603760,29.701172
2320,-10.840945,1.154005,-0.220267,6.561279,131.134033,-18.768311,29.732422
