MS,Accel X (m/s²),Accel Y (m/s²),Accel Z (m/s²),Gyro X (°/s),Gyro Y (°/s),Gyro Z (°/s),Temp (°C)
1240,4.194642,7.479486,-6.311116,6.622314,14.129639,70.800781,27.269531
1280,3.596091,6.406884,-6.473921,8.575439,-3.387451,72.845459,27.271484
1320,3.222595,5.846641,-6.502652,40.466309,-28.564453,67.779541,27.283203
1360,3.485958,6.430826,-6.612785,54.687500,-28.381348,64.880371,27.275391
1400,4.161122,7.546524,-6.986280,39.642334,9.185791,70.220947,27.289062
1440,4.467580,8.839393,-7.738060,29.693604,-9.246826,24.810791,27.296875
1480,4.113238,8.049306,-6.986280,23.864746,-16.082764,6.195068,27.289062
1520,3.864242,6.895301,-5.784391,15.777588,-4.913330,7.507324,27.322266
1560,3.950433,6.555324,-5.626374,14.190674,-1.068115,2.716064,27.281250
1600,4.237737,6.665458,-6.133945,10.437012,4.089355,0.244141,27.296875
1640,4.486734,7.005434,-6.651093,0.610352,6.134033,-6.683350,27.296875
1680,4.558560,6.957550,-6.861782,-5.157471,-1.953125,-18.493652,27.306641
1720,4.491522,6.718130,-6.306327,-9.948730,5.096436,-17.486572,27.310547
1760,4.429273,6.646304,-6.095637,-15.869141,9.124756,-15.808105,27.308594
1800,4.534618,7.010222,-6.296751,-18.554688,8.148193,-20.355225,27.306641
1840,4.683059,7.177817,-6.426037,-21.911621,10.467529,-17.272949,27.292969
1880,4.960786,7.019799,-6.411672,-16.418457,12.573242,-9.735107,27.322266
1920,5.463568,6.641516,-6.248867,-4.516602,20.568848,-6.072998,27.332031
1960,5.540183,6.603208,-6.564901,9.643555,24.749756,-10.681152,27.306641
2000,4.941632,6.636727,-7.134721,-5.065918,6.744385,-13.763428,27.332031
2040,4.448427,5.477933,-6.335058,-24.871826,-6.378174,-2.685547,27.335938
2080,4.606444,4.031836,-4.879383,-20.172119,0.701904,14.984131,27.322266
2120,5.209783,3.667917,-4.505888,-1.586914,9.643555,22.430420,27.322266
2160,5.525817,4.247314,-5.190629,16.540527,6.896973,15.472412,27.330078
