MS,Accel X (m/s²),Accel Y (m/s²),Accel Z (m/s²),Gyro X (°/s),Gyro Y (°/s),Gyro Z (°/s),Temp (°C)
2360,4.055778,-10.544065,3.246537,12.542725,7.781982,-24.261475,27.878906
2400,2.949656,-11.123461,1.666364,16.174316,-23.468018,-16.754150,27.902344
2440,1.857901,-10.433931,1.752556,-5.859375,7.995605,-10.833740,27.916016
2480,3.107674,-8.465898,0.316035,2.075195,9.887695,-10.925293,27.890625
2520,4.386178,-8.355764,-0.162806,27.923584,10.833740,-13.031006,27.904297
2560,4.611232,-9.471462,0.387861,10.131836,19.042969,-11.840820,27.902344
2600,3.960010,-9.825804,0.531513,-19.195557,-1.495361,-10.559082,27.894531
2640,2.796427,-8.638280,0.679953,-35.064697,-26.519775,-8.087158,27.906250
2680,2.485181,-7.560889,1.029507,-33.050537,-0.335693,0.427246,27.914062
2720,2.906561,-7.278373,1.661576,-49.407959,50.292969,3.204346,27.900391
2760,3.342306,-7.876924,2.351106,-67.199707,46.051025,-1.007080,27.906250
2800,3.505111,-8.255207,2.054225,-61.889648,9.429932,-1.770020,27.925781
2840,4.036624,-8.231265,1.656788,-36.376953,-21.118164,1.281738,27.927734
2880,4.659117,-8.135497,1.680730,4.638672,-18.493652,-1.739502,27.925781
2920,5.607220,-8.576031,1.695095,20.935059,-8.789062,-0.152588,27.927734
2960,5.789180,-8.801085,2.020706,2.502441,-10.986328,-3.295898,27.925781
3000,5.621585,-10.395624,2.652776,-1.037598,1.251221,-9.796143,27.912109
3040,5.386954,-11.233594,1.503559,29.357910,12.786865,-0.854492,27.941406
3080,4.955997,-10.625467,-0.339977,59.661865,-0.610352,11.199951,27.933594
3120,3.366248,-8.810662,-1.058237,87.860107,-29.418945,14.923096,27.927734
3160,2.039860,-8.212111,0.239420,59.631348,-38.970947,1.098633,27.923828
3200,2.049437,-9.356541,1.072602,30.120850,-45.349121,-2.807617,27.943359
3240,2.164358,-9.136273,0.526724,5.157471,-53.863525,2.807617,27.925781
