MS,Accel X (m/s²),Accel Y (m/s²),Accel Z (m/s²),Gyro X (°/s),Gyro Y (°/s),Gyro Z (°/s),Temp (°C)
2400,-9.610326,-1.972822,-0.306458,-1.953125,0.366211,-0.305176,32.474609
2440,-9.619903,-1.982399,-0.282516,-0.183105,-0.457764,-0.366211,32.496094
2480,-9.629479,-1.972822,-0.344765,-0.122070,-0.671387,-0.549316,32.494141
2520,-9.615114,-1.996764,-0.397437,0.183105,0.671387,-0.946045,32.501953
2560,-9.615114,-1.963245,-0.387861,-0.762939,0.579834,-0.732422,32.474609
2600,-9.615114,-2.001553,-0.344765,-1.831055,0.366211,-0.762939,32.492188
2640,-9.624691,-2.035071,-0.349553,-1.098633,0.701904,-0.976562,32.511719
2680,-9.615114,-2.001553,-0.368707,-1.342773,0.518799,-0.762939,32.509766
2720,-9.605537,-1.991976,-0.363919,-1.190186,-0.122070,-0.640869,32.507812
2760,-9.615114,-2.025495,-0.416591,-3.570557,-0.152588,-0.976562,32.515625
2800,-9.629479,-2.035071,-0.478840,-2.227783,2.319336,-1.190186,32.509766
2840,-9.615114,-2.006341,-0.426168,-1.983643,1.647949,-1.007080,32.500000
2880,-9.619903,-2.035071,-0.378284,-3.265381,-0.885010,-1.098633,32.513672
2920,-9.615114,-2.102109,-0.493206,-4.333496,1.129150,-2.014160,32.501953
2960,-9.586384,-2.111686,-0.521936,-4.638672,2.838135,-2.410889,32.513672
3000,-9.586384,-2.073379,-0.454898,-5.523682,0.915527,-2.349854,32.490234
3040,-9.581595,-2.092532,-0.488417,-5.889893,-0.152588,-2.624512,32.509766
3080,-9.576807,-2.030283,-0.550666,-2.624512,1.342773,-2.075195,32.515625
3120,-9.562442,-1.982399,-0.560243,-0.793457,1.007080,-1.312256,32.513672
3160,-9.552865,-2.020706,-0.593762,-0.183105,1.831055,-0.946045,32.535156
3200,-9.581595,-2.049437,-0.579397,1.037598,2.868652,-0.518799,32.511719
3240,-9.557653,-2.149993,-0.512359,-1.342773,1.953125,-0.732422,32.509766
3280,-9.524135,-2.226608,-0.497994,-0.366211,0.335693,-0.946045,32.539062
3320,-9.538500,-2.130840,-0.569820,1.525879,-0.610352,-0.549316,32.515625
3360,-9.548077,-2.068590,-0.598550,0.823975,-0.457764,-0.335693,32.529297
3400,-9.615114,-2.135628,-0.593762,-1.007080,-1.190186,-0.122070,32.556641
3440,-9.639056,-2.303222,-0.641646,-2.136230,1.708984,-1.190186,32.542969
3480,-9.567230,-2.475605,-0.627281,-5.401611,2.349854,-1.831055,32.529297
3520,-9.552865,-2.547431,-0.636858,-8.300781,0.305176,-1.281738,32.535156
3560,-9.639056,-2.806004,-0.665588,-24.108887,-5.279541,-2.624512,32.521484
3600,-9.658210,-3.318364,-0.833182,-37.475586,-6.774902,-7.720947,32.542969
