MS,Accel X (m/s²),Accel Y (m/s²),Accel Z (m/s²),Gyro X (°/s),Gyro Y (°/s),Gyro Z (°/s),Temp (°C)
1160,-9.519346,0.713472,2.533065,-2.807617,-2.624512,-1.678467,45.177734
1200,-9.490616,0.727837,2.528277,-3.021240,-0.915527,-1.495361,45.214844
1240,-9.423578,0.790087,2.561796,-2.227783,0.091553,-1.037598,45.187500
1280,-9.466674,0.794875,2.561796,-2.990723,0.183105,-0.488281,45.191406
1320,-9.481039,0.746991,2.595315,-3.601074,1.831055,0.183105,45.195312
1360,-9.447520,0.746991,2.609680,-3.784180,2.227783,0.579834,45.191406
1400,-9.428367,0.780510,2.595315,-4.333496,1.800537,0.793457,45.183594
1440,-9.447520,0.804452,2.600103,-4.180908,1.403809,0.793457,45.193359
1480,-9.428367,0.847547,2.585738,-3.265381,1.953125,0.885010,45.181641
1520,-9.423578,0.866701,2.585738,-2.471924,1.037598,0.671387,45.218750
1560,-9.433155,0.814029,2.576161,-2.197266,0.488281,0.915527,45.201172
1600,-9.433155,0.804452,2.576161,-1.861572,0.183105,0.610352,45.191406
1640,-9.442732,0.818817,2.561796,-1.312256,-0.244141,0.305176,45.199219
1680,-9.433155,0.809240,2.552219,-0.610352,-0.732422,0.152588,45.187500
1720,-9.461885,0.790087,2.542642,-0.305176,-0.701904,-0.030518,45.181641
1760,-9.485827,0.809240,2.566584,0.213623,-0.091553,-0.152588,45.197266
1800,-9.437943,0.799663,2.571373,0.427246,-0.549316,-0.122070,45.195312
1840,-9.452309,0.761356,2.547431,0.427246,-0.366211,-0.427246,45.187500
1880,-9.452309,0.814029,2.566584,1.098633,-0.366211,-0.457764,45.181641
1920,-9.437943,0.790087,2.566584,1.007080,-0.213623,-0.427246,45.199219
1960,-9.461885,0.756568,2.571373,0.579834,-0.152588,-0.488281,45.222656
2000,-9.461885,0.775721,2.571373,0.457764,0.701904,-0.335693,45.205078
2040,-9.442732,0.799663,2.566584,0.335693,0.152588,-0.244141,45.203125
2080,-9.433155,0.799663,2.566584,0.396729,0.366211,-0.091553,45.193359
2120,-9.437943,0.790087,2.566584,0.518799,-0.274658,-0.396729,45.195312
2160,-9.461885,0.809240,2.537854,0.244141,-0.030518,-0.213623,45.203125
2200,-9.466674,0.799663,2.552219,0.244141,0.396729,-0.030518,45.193359
2240,-9.452309,0.785298,2.561796,0.000000,0.305176,-0.213623,45.179688
2280,-9.442732,0.794875,2.552219,-0.091553,0.274658,-0.213623,45.208984
2320,-9.461885,0.814029,2.552219,0.152588,0.244141,-0.274658,45.208984
2360,-9.457097,0.799663,2.542642,-0.213623,0.305176,-0.061035,45.197266
2400,-9.447520,0.814029,2.557007,-0.152588,0.244141,-0.183105,45.193359
2440,-9.433155,0.809240,2.571373,-0.457764,-0.518799,-0.244141,45.212891
2480,-9.437943,0.794875,2.557007,-0.183105,-0.213623,-0.335693,45.193359
2520,-9.437943,0.828394,2.566584,0.213623,-0.946045,-0.183105,45.197266
2560,-9.466674,0.809240,2.533065,-0.061035,0.152588,-0.152588,45.187500
2600,-9.471462,0.804452,2.552219,-0.091553,0.793457,-0.152588,45.208984
2640,-9.457097,0.809240,2.561796,-0.152588,0.762939,-0.091553,45.203125
2680,-9.433155,0.790087,2.552219,-0.427246,0.518799,-0.122070,45.193359
2720,-9.461885,0.804452,2.552219,-0.213623,0.793457,-0.122070,45.205078
2760,-9.452309,0.818817,2.547431,0.000000,0.671387,-0.061035,45.185547
2800,-9.433155,0.799663,2.566584,-0.061035,0.030518,-0.305176,45.193359
2840,-9.452309,0.790087,2.557007,-0.183105,0.396729,-0.183105,45.207031
2880,-9.447520,0.794875,2.547431,-0.091553,0.091553,-0.183105,45.189453
2920,-9.452309,0.790087,2.552219,-0.030518,0.122070,-0.244141,45.195312
2960,-9.457097,0.799663,2.533065,0.183105,0.091553,-0.427246,45.191406
3000,-9.471462,0.818817,2.518700,0.152588,0.213623,-0.335693,45.183594
3040,-9.461885,0.794875,2.523489,0.183105,0.518799,-0.244141,45.197266
3080,-9.442732,0.790087,2.528277,0.000000,0.091553,-0.152588,45.201172
3120,-9.471462,0.799663,2.504335,-0.030518,-0.152588,-0.640869,45.208984
3160,-9.457097,0.833182,2.528277,0.762939,-0.366211,-0.396729,45.224609
3200,-9.461885,0.799663,2.513912,0.457764,-0.213623,-0.396729,45.218750
3240,-9.457097,0.766145,2.513912,0.030518,-0.030518,-0.427246,45.173828
3280,-9.490616,0.766145,2.499547,-0.274658,0.762939,-0.061035,45.181641
3320,-9.476251,0.809240,2.499547,-0.061035,1.129150,-0.152588,45.199219
3360,-9.447520,0.804452,2.509123,-0.061035,0.518799,-0.183105,45.207031
3400,-9.452309,0.794875,2.499547,0.061035,0.549316,-0.213623,45.191406
3440,-9.476251,0.790087,2.489970,-0.030518,0.762939,-0.396729,45.201172
3480,-9.476251,0.770933,2.499547,-0.335693,0.915527,-0.305176,45.197266
3520,-9.490616,0.775721,2.475605,-0.366211,1.403809,-0.091553,45.207031
3560,-9.457097,0.794875,2.480393,-0.549316,0.701904,0.030518,45.220703
3600,-9.457097,0.814029,2.480393,0.030518,0.518799,-0.030518,45.193359
3640,-9.495404,0.847547,2.470816,0.701904,1.434326,-0.122070,45.197266
3680,-9.461885,0.876278,2.489970,1.800537,0.885010,-0.030518,45.203125
3720,-9.437943,0.837971,2.451663,2.136230,0.122070,0.518799,45.195312
3760,-9.466674,0.756568,2.446874,0.915527,-0.854492,0.335693,45.220703
3800,-9.504981,0.723049,2.437297,-0.122070,-0.152588,0.244141,45.205078
3840,-9.500193,0.790087,2.422932,-0.274658,0.244141,0.457764,45.193359
3880,-9.476251,0.799663,2.422932,-0.854492,-0.366211,0.518799,45.203125
3920,-9.481039,0.751779,2.422932,-2.105713,-0.579834,0.549316,45.220703
3960,-9.490616,0.708684,2.432509,-3.356934,-0.427246,0.427246,45.208984
4000,-9.495404,0.761356,2.446874,-3.417969,0.457764,0.091553,45.207031
4040,-9.471462,0.842759,2.451663,-2.502441,-0.030518,-0.152588,45.195312
4080,-9.442732,0.842759,2.446874,-1.831055,-0.701904,-0.457764,45.201172
4120,-9.500193,0.828394,2.446874,-1.586914,0.122070,-0.579834,45.187500
4160,-9.519346,0.876278,2.470816,-1.068115,0.488281,-0.885010,45.205078
4200,-9.442732,0.924162,2.499547,0.152588,0.671387,-0.610352,45.210938
4240,-9.428367,0.924162,2.542642,1.617432,-0.396729,-0.640869,45.207031
4280,-9.447520,0.881066,2.528277,2.563477,-1.434326,-0.640869,45.236328
4320,-9.457097,0.790087,2.475605,2.105713,-1.342773,-0.244141,45.193359
4360,-9.485827,0.732626,2.466028,1.495361,-0.549316,0.061035,45.199219
4400,-9.504981,0.732626,2.485181,0.640869,0.518799,0.366211,45.214844
4440,-9.500193,0.727837,2.489970,-0.396729,0.915527,0.274658,45.226562
4480,-9.495404,0.790087,2.466028,-0.335693,1.495361,0.091553,45.199219
4520,-9.466674,0.857124,2.461239,0.213623,1.251221,0.274658,45.203125
4560,-9.461885,0.828394,2.446874,-0.030518,1.373291,0.640869,45.203125
4600,-9.495404,0.804452,2.442086,-0.671387,2.319336,0.701904,45.205078
4640,-9.509769,0.804452,2.451663,-0.823975,3.356934,1.098633,45.203125
4680,-9.500193,0.804452,2.418144,-1.220703,3.265381,1.190186,45.216797
4720,-9.485827,0.847547,2.389413,-0.915527,3.265381,0.885010,45.205078
4760,-9.476251,0.881066,2.379837,0.000000,2.380371,0.488281,45.201172
4800,-9.514558,0.852336,2.351106,0.061035,1.770020,0.579834,45.197266
4840,-9.504981,0.837971,2.346318,0.000000,1.068115,0.305176,45.195312
4880,-9.490616,0.837971,2.336741,-0.274658,0.976562,0.366211,45.208984
4920,-9.514558,0.833182,2.317587,-0.518799,0.946045,0.457764,45.216797
4960,-9.524135,0.861913,2.317587,-0.274658,0.396729,0.274658,45.203125
5000,-9.528923,0.885855,2.322376,-0.091553,0.793457,0.122070,45.203125
5040,-9.524135,0.866701,2.298434,-0.305176,1.098633,0.274658,45.207031
5080,-9.495404,0.857124,2.308010,-0.549316,0.335693,0.091553,45.199219
5120,-9.466674,0.852336,2.322376,-0.488281,0.000000,-0.030518,45.222656
5160,-9.500193,0.881066,2.317587,0.244141,-0.305176,-0.335693,45.232422
5200,-9.471462,0.924162,2.308010,1.342773,-1.037598,-0.732422,45.203125
5240,-9.452309,0.895431,2.308010,1.708984,-2.014160,-1.159668,45.216797
5280,-9.490616,0.857124,2.317587,1.525879,-2.227783,-0.885010,45.212891
