MS,Accel X (m/s²),Accel Y (m/s²),Accel Z (m/s²),Gyro X (°/s),Gyro Y (°/s),Gyro Z (°/s),Temp (°C)
1240,-1.426944,5.248090,8.039729,-1.831055,0.915527,-1.098633,27.970703
1280,-1.465251,5.295974,8.116343,-1.800537,0.976562,-1.007080,27.968750
1320,-1.441309,5.305551,8.149862,-0.915527,1.617432,-0.579834,27.986328
1360,-1.417367,5.319916,8.159439,-1.037598,0.946045,-0.183105,27.974609
1400,-1.417367,5.348647,8.154651,-0.762939,0.183105,0.213623,27.974609
1440,-1.393425,5.329493,8.178593,0.518799,0.915527,0.396729,28.000000
1480,-1.403002,5.305551,8.183381,0.030518,0.030518,1.251221,27.992188
1520,-1.407791,5.295974,8.154651,-0.274658,-0.305176,1.312256,27.994141
1560,-1.403002,5.300763,8.121132,0.030518,-0.305176,1.159668,27.988281
1600,-1.388637,5.295974,8.111555,-0.518799,-0.518799,0.579834,27.984375
1640,-1.369483,5.276821,8.111555,-0.488281,-0.305176,0.274658,27.988281
1680,-1.364695,5.262455,8.116343,-0.213623,0.396729,0.091553,28.011719
1720,-1.383849,5.272032,8.154651,-1.403809,-1.525879,0.244141,28.000000
1760,-1.374272,5.267244,8.169016,-2.014160,-2.258301,0.793457,28.009766
1800,-1.350330,5.272032,8.183381,-1.312256,-2.105713,0.030518,28.019531
1840,-1.340753,5.252879,8.178593,-1.159668,-1.098633,-0.091553,28.001953
1880,-1.383849,5.238513,8.116343,0.427246,0.396729,-0.366211,27.994141
1920,-1.398214,5.252879,8.101978,-0.457764,-0.091553,0.457764,28.003906
1960,-1.364695,5.272032,8.197746,-1.800537,-1.159668,0.305176,28.017578
2000,-1.321599,5.243302,8.279149,0.701904,0.640869,0.579834,28.033203
2040,-1.340753,5.252879,8.221688,1.403809,0.579834,0.518799,28.031250
2080,-1.398214,5.295974,8.125920,-0.213623,0.152588,0.701904,28.033203
2120,-1.388637,5.281609,8.159439,-1.007080,-0.366211,0.885010,28.029297
2160,-1.326388,5.219360,8.164227,0.701904,0.427246,1.068115,28.046875
2200,-1.307234,5.238513,8.164227,-0.122070,0.366211,0.396729,28.033203
2240,-1.297657,5.262455,8.169016,-0.915527,-0.549316,0.305176,28.027344
2280,-1.297657,5.257667,8.169016,0.823975,0.854492,-0.274658,28.048828
2320,-1.297657,5.252879,8.159439,0.579834,0.061035,-0.274658,28.035156
2360,-1.297657,5.252879,8.164227,-0.823975,-0.762939,-0.579834,28.048828
2400,-1.297657,5.257667,8.178593,0.091553,-0.946045,-0.701904,28.046875
2440,-1.307234,5.272032,8.197746,1.922607,0.030518,-1.403809,28.052734
2480,-1.331176,5.291186,8.178593,1.251221,-1.068115,-1.586914,28.031250
2520,-1.312023,5.291186,8.140285,1.586914,-1.159668,-2.380371,28.035156
