MS,Accel X (m/s²),Accel Y (m/s²),Accel Z (m/s²),Gyro X (°/s),Gyro Y (°/s),Gyro Z (°/s),Temp (°C)
30000,1.134852,4.601655,4.496311,50.476074,90.850830,-28.930664,40.150391
30040,-0.914585,1.810017,1.929727,-7.934570,-52.459717,24.993896,40.154297
30080,5.190629,0.258574,2.959233,-135.742188,-175.109863,86.944580,40.167969
30120,18.990808,1.407791,-11.923124,-38.970947,-81.298828,56.091309,40.148438
30160,15.241488,4.347870,-19.627666,39.916992,22.613525,-10.589600,40.164062
30200,7.565677,6.052542,-13.872005,-69.030762,-25.604248,54.077148,40.167969
30240,4.199430,3.323152,-10.884041,-30.578613,-49.926758,26.977539,40.167969
30280,2.911349,-0.981623,-6.339846,4.364014,-27.252197,-2.838135,40.154297
30320,4.702212,-3.801992,-0.526724,-0.396729,-16.693115,26.367188,40.164062
30360,4.865018,-3.969586,2.489970,62.194824,93.048096,30.761719,40.169922
30400,3.059790,-1.632846,3.869030,43.518066,180.633545,3.173828,40.169922
30440,9.246407,1.680730,0.225055,-108.551025,-244.934082,-68.206787,40.158203
30480,17.956512,4.405331,-17.108965,90.881348,63.873291,-123.687744,40.160156
30520,12.603078,3.462016,-19.718645,161.651611,49.530029,-96.923828,40.162109
30560,4.582502,1.091756,-17.271770,117.279053,-4.760742,-84.655762,40.160156
30600,3.447650,2.226608,-10.754754,49.316406,3.417969,-60.424805,40.142578
30640,4.491522,4.845864,-1.446098,-22.247314,85.052490,-26.733398,40.160156
30680,4.204218,6.277597,5.023035,32.562256,263.183594,-37.231445,40.162109
30720,0.158017,3.562572,3.754108,7.659912,-19.378662,-6.896973,40.146484
30760,4.094085,0.646434,2.906561,-103.607178,-231.567383,87.829590,40.164062
30800,17.865534,2.102109,-9.725247,-85.571289,-170.288086,61.523438,40.144531
30840,14.709975,3.509900,-19.488802,27.557373,13.488770,3.967285,40.154297
30880,8.571242,5.348647,-14.719552,-68.786621,-7.720947,49.499512,40.150391
30920,5.406107,4.616021,-11.923124,-48.675537,-30.883789,28.839111,40.140625
30960,2.537854,0.153229,-6.684611,-14.099121,-10.803223,7.873535,40.128906
31000,3.629610,-4.036624,-0.047884,-26.397705,-5.950928,27.130127,40.154297
31040,4.898537,-4.630386,2.978387,44.403076,34.637451,15.228271,40.152344
31080,4.012682,-1.987187,3.284845,5.218506,65.765381,-2.593994,40.130859
31120,12.354081,0.622492,-4.774038,-88.409424,-128.234863,-45.043945,40.134766
31160,16.883911,4.338294,-19.828779,148.040771,82.122803,-129.241943,40.158203
31200,10.472239,3.811569,-18.306067,117.889404,25.634766,-59.692383,40.144531
31240,5.674258,2.240973,-14.451402,97.869873,5.676270,-74.249268,40.138672
31280,4.065354,3.117251,-7.771579,79.223633,10.986328,-54.016113,40.148438
31320,3.533842,4.400543,-0.239420,-1.190186,59.509277,-5.920410,40.144531
31360,2.537854,5.827487,4.299986,80.413818,185.333252,-43.273926,40.158203
31400,-0.536301,2.628834,2.183512,22.308350,-21.026611,27.404785,40.138672
31440,2.097321,0.905008,3.835511,-75.164795,-52.612305,79.132080,40.125000
31480,14.130578,2.001553,-3.648763,-63.995361,-262.237549,42.907715,40.140625
31520,17.372328,2.695871,-22.984337,-44.006348,1.159668,75.012207,40.144531
31560,9.595961,4.625597,-19.167978,-49.957275,-3.814697,38.238525,40.091797
31600,3.926491,4.060566,-12.636597,-63.446045,-22.369385,49.682617,40.091797
31640,1.675941,-0.172383,-7.603985,-19.378662,-23.162842,27.679443,40.085938
31680,4.299986,-3.845088,-1.450886,-14.373779,3.723145,31.433105,40.119141
31720,4.745308,-4.558560,1.795651,15.014648,57.464600,7.659912,40.105469
31760,3.418920,-3.083732,2.825158,48.187256,110.412598,23.437500,40.125000
31800,8.073248,-1.312023,-0.306458,-89.538574,-177.368164,-32.318115,40.111328
31840,16.998833,1.814805,-17.070658,53.253174,60.729980,-65.216064,40.109375
31880,12.933477,2.638410,-20.470425,116.058350,51.239014,-71.411133,40.103516
31920,6.703765,1.335965,-16.338032,85.144043,19.317627,-67.016602,40.113281
31960,5.161899,1.886631,-10.874464,79.650879,15.167236,-68.450928,40.115234
32000,3.447650,3.280056,-2.734178,26.519775,67.413330,-41.107178,40.101562
32040,2.896984,5.367800,3.457227,3.051758,138.641357,-33.538818,40.099609
32080,0.727837,4.539406,3.509900,35.461426,52.978516,-50.903320,40.103516
32120,1.589750,1.077391,3.548207,-45.867920,-27.648926,38.604736,40.089844
32160,11.338940,1.881842,-2.020706,-102.203369,-244.018555,55.877686,40.083984
32200,18.444929,2.020706,-18.344374,-30.731201,-2.593994,66.253662,40.089844
32240,11.851298,4.438850,-17.525557,-54.138184,16.876221,31.311035,40.128906
32280,7.062895,4.568137,-12.986150,-86.303711,-16.143799,62.316895,40.109375
32320,3.284845,1.570596,-9.911995,-29.327393,-29.815674,15.625000,40.111328
32360,2.446874,-2.336741,-3.409343,-9.307861,-12.847900,15.533447,40.091797
32400,4.232949,-4.132392,1.331176,-29.937744,1.617432,38.024902,40.117188
32440,3.514688,-3.825934,2.164358,67.413330,67.657471,21.179199,40.089844
32480,4.122815,-1.431733,2.743755,-80.505371,12.634277,-16.204834,40.087891
32520,15.500062,-0.670376,-8.250419,-55.847168,-85.906982,-8.911133,40.136719
32560,15.859192,2.226608,-20.125660,132.171631,68.817139,-110.870361,40.093750
32600,10.189722,1.144428,-17.357962,112.182617,40.039062,-85.937500,40.107422
32640,6.986280,1.446098,-14.470555,99.578857,4.486084,-94.268799,40.115234
32680,4.711789,2.777274,-7.144298,76.019287,55.114746,-75.531006,40.119141
32720,3.126827,4.347870,0.258574,3.387451,72.998047,-41.046143,40.113281
32760,2.145205,5.066131,3.931279,54.534912,171.264648,-73.303223,40.111328
32800,0.225055,3.557784,3.160346,8.056641,45.959473,-15.075684,40.101562
32840,4.884171,2.183512,3.806781,-104.064941,-159.820557,96.313477,40.101562
32880,16.912642,4.285621,-9.064447,-117.858887,-170.501709,87.158203,40.095703
32920,14.518439,4.012682,-19.153614,-28.747559,0.579834,29.022217,40.091797
32960,9.648633,3.438074,-14.441825,-100.097656,-18.432617,83.160400,40.113281
33000,6.014235,1.532289,-11.779472,-62.896729,-38.146973,52.276611,40.082031
33040,2.523489,-1.110910,-6.823475,-34.790039,-24.353027,21.575928,40.115234
33080,2.331953,-3.318364,-0.761356,-37.200928,-7.659912,17.547607,40.121094
33120,2.940080,-4.209007,2.485181,7.171631,27.618408,-8.605957,40.125000
33160,2.279280,-3.313575,1.838747,75.744629,63.659668,36.407471,40.105469
33200,7.441179,0.287304,1.661576,-202.514648,-123.596191,-28.656006,40.103516
33240,20.173544,3.102885,-12.890382,48.278809,39.031982,-22.521973,40.121094
33280,14.168885,2.432509,-19.009962,104.705811,29.663086,-63.659668,40.085938
33320,8.628703,0.905008,-15.796943,82.855225,18.066406,-67.474365,40.113281
33360,7.015011,1.910573,-12.124237,92.987061,3.570557,-68.725586,40.119141
33400,4.065354,3.251326,-4.975151,39.672852,32.653809,-36.956787,40.111328
33440,3.169923,5.137957,1.829170,-19.073486,98.175049,-9.155273,40.099609
33480,1.082179,4.817134,4.060566,39.855957,98.602295,-29.663086,40.099609
33520,-0.785298,2.044648,2.398990,-25.177002,-32.409668,20.294189,40.095703
33560,6.071695,0.373495,3.112462,-134.918213,-196.533203,113.861084,40.101562
33600,19.057846,2.671929,-11.971008,-84.869385,-96.435547,92.407227,40.103516
33640,13.503298,4.371812,-20.068199,2.014160,2.502441,18.890381,40.121094
33680,8.068460,4.740520,-15.026010,-88.562012,-12.573242,74.188232,40.095703
33720,4.946421,2.978387,-12.258312,-56.549072,-39.337158,49.652100,40.123047
33760,2.509123,-0.478840,-6.722919,-33.874512,-23.620605,25.756836,40.109375
33800,3.787627,-3.323152,-0.339977,-36.621094,-3.814697,34.484863,40.109375
