MS,Accel X (m/s²),Accel Y (m/s²),Accel Z (m/s²),Gyro X (°/s),Gyro Y (°/s),Gyro Z (°/s),Temp (°C)
2320,0.660800,9.945514,-0.378284,-1.525879,-3.540039,1.739502,33.224609
2360,0.684742,9.950302,-0.402226,-1.495361,-5.065918,1.251221,33.248047
2400,0.689530,9.926360,-0.306458,-2.655029,-5.096436,0.305176,33.228516
2440,0.665588,9.821015,-0.201113,-1.647949,-4.089355,0.823975,33.230469
2480,0.689530,9.792285,-0.191536,-1.739502,-3.448486,1.464844,33.242188
2520,0.742203,9.854534,-0.201113,-2.014160,-2.380371,0.183105,33.242188
2560,0.684742,9.758766,-0.210690,-1.739502,-2.807617,1.251221,33.242188
2600,0.603339,9.706094,-0.215478,-2.380371,-2.319336,2.410889,33.208984
2640,0.579397,9.782708,-0.244209,-2.258301,-2.258301,3.936768,33.236328
2680,0.632069,9.935937,-0.167594,-1.586914,-1.983643,3.448486,33.230469
2720,0.521936,9.797073,0.038307,0.305176,-1.251221,2.593994,33.246094
2760,0.220267,9.423578,0.191536,1.678467,-0.701904,6.164551,33.236328
2800,0.062249,9.390059,0.167594,1.342773,-0.732422,13.305664,33.234375
2840,0.282516,9.888053,0.143652,1.098633,-1.739502,15.533447,33.230469
2880,0.296881,10.070012,0.038307,-3.143311,-6.347656,11.566162,33.242188
2920,-0.028730,9.710882,-0.076614,-6.988525,-11.413574,12.054443,33.248047
2960,-0.062249,9.696517,0.009577,-4.730225,-11.718750,14.160156,33.250000
3000,0.172383,10.050858,0.090980,-4.119873,-10.894775,11.169434,33.251953
3040,0.244209,10.079589,0.086191,-2.349854,-10.314941,8.178711,33.255859
3080,0.316035,9.988609,0.076614,-1.098633,-11.077881,5.767822,33.265625
3120,0.392649,9.907207,0.148441,-0.823975,-8.605957,2.227783,33.261719
3160,0.407014,9.816227,0.205901,3.021240,-7.049561,3.814697,33.255859
3200,0.536301,10.031705,0.239420,3.326416,-3.570557,1.159668,33.279297
3240,0.550666,10.127473,0.220267,5.767822,-2.319336,0.732422,33.250000
3280,0.507571,10.122684,0.167594,9.094238,-0.823975,2.044678,33.250000
3320,0.488417,10.113108,0.076614,12.145996,-1.464844,2.410889,33.251953
3360,0.421380,9.821015,-0.043096,17.181396,-3.356934,2.532959,33.265625
3400,0.114922,9.313444,-0.359130,13.244629,-3.662109,12.145996,33.261719
3440,0.646434,10.141838,-0.775721,11.138916,-10.009766,24.719238,33.265625
3480,1.877054,11.817780,-0.833182,13.763428,-14.587402,2.410889,33.265625
3520,1.685518,11.176133,-0.876278,-5.859375,-14.343262,-9.307861,33.265625
3560,1.345541,10.414778,-0.866701,-1.678467,-14.007568,-2.532959,33.275391
3600,1.838747,11.089942,-0.799663,-7.629395,-13.336182,-12.237549,33.283203
3640,2.025495,10.726024,-0.517148,-11.505127,-10.253906,-26.489258,33.263672
3680,1.412579,8.853758,-0.210690,-14.343262,-8.270264,-28.686523,33.267578
3720,0.794875,7.455544,0.023942,-19.165039,-4.455566,-21.118164,33.261719
3760,0.641646,7.335834,0.167594,-17.700195,0.549316,-7.324219,33.246094
3800,0.794875,7.996634,0.282516,-13.885498,7.690430,3.143311,33.265625
3840,0.890643,8.547300,0.205901,-14.465332,11.444092,15.350342,33.285156
3880,0.924162,9.112331,0.023942,-12.786865,11.718750,34.210205,33.283203
3920,1.685518,10.457873,0.268151,1.373291,9.857178,48.034668,33.294922
3960,2.336741,11.252748,0.938527,-6.469727,23.345947,44.830322,33.283203
4000,2.647987,11.171345,1.412579,-17.730713,41.442871,51.483154,33.269531
4040,3.548207,11.281479,1.699883,25.878906,50.872803,46.264648,33.292969
4080,3.327940,9.983821,1.388637,22.216797,57.586670,26.794434,33.275391
4120,2.901772,8.906430,1.029507,7.720947,60.577393,25.390625,33.294922
4160,3.442862,9.629479,1.029507,25.451660,59.600830,24.505615,33.279297
4200,3.428497,9.902418,0.962469,20.202637,61.431885,6.256104,33.304688
4240,2.207454,8.279149,0.560243,11.199951,55.847168,3.356934,33.275391
4280,1.455675,7.393295,0.181959,19.317627,41.168213,10.162354,33.292969
4320,1.546654,8.006210,0.205901,8.697510,31.524658,4.760742,33.402344
4360,1.685518,8.906430,0.378284,4.486084,21.636963,-1.068115,33.406250
4400,1.771709,10.137050,0.440533,-8.758545,11.749268,-13.702393,33.404297
4440,1.920150,11.233594,0.718261,-24.261475,7.202148,-30.151367,33.400391
4480,1.498770,10.931925,0.914585,-14.160156,10.345459,-20.294189,33.402344
4520,1.235408,10.807426,0.311246,17.517090,-0.274658,14.343262,33.386719
4560,2.671929,12.536040,-0.421380,42.541504,-16.967773,7.965088,33.402344
4600,3.323152,12.808979,-1.249773,-10.803223,-28.442383,-23.345947,33.398438
4640,2.767697,11.362882,-1.431733,-28.350830,-39.764404,-22.857666,33.416016
4680,2.312799,10.189722,-0.962469,-12.298584,-53.680420,-13.427734,33.416016
4720,2.221819,9.217676,-0.186748,-16.754150,-48.797607,-27.862549,33.406250
4760,1.972822,7.896077,0.134075,-20.294189,-49.041748,-41.992188,33.439453
4800,1.369483,6.416461,0.234632,-11.566162,-49.224854,-42.572021,33.400391
4840,0.972046,6.052542,0.229843,-14.251709,-47.332764,-33.752441,33.406250
4880,1.106121,6.804321,0.158017,-25.939941,-39.367676,-16.845703,33.431641
4920,1.862689,8.082825,0.287304,-28.472900,-34.179688,4.516602,33.414062
4960,2.758120,8.877700,0.943315,-41.809082,-15.930176,32.440186,33.425781
5000,3.691859,8.892065,1.671153,-27.404785,-3.753662,70.251465,33.412109
5040,4.515464,8.236053,2.111686,11.169434,7.537842,100.036621,33.425781
5080,4.927267,7.891289,1.996764,71.868896,9.216309,96.984863,33.437500
5120,5.018247,8.604761,2.973598,40.008545,31.311035,60.058594,33.441406
5160,6.435614,11.353305,4.836287,-50.537109,78.491211,48.492432,33.427734
5200,8.245630,16.429012,5.635951,15.777588,81.787109,62.377930,33.429688
5240,7.364564,17.693151,4.836287,39.154053,103.973389,52.398682,33.464844
5280,4.553771,14.992491,2.298434,14.465332,101.928711,47.698975,33.447266
5320,1.561020,11.429919,-0.076614,41.168213,68.634033,47.180176,33.429688
5360,-1.254562,7.407660,-2.011129,47.729492,37.384033,15.411377,33.410156
5400,-3.940856,3.715801,-3.399766,14.434814,-6.225586,-44.433594,33.449219
5440,-6.004658,1.091756,-3.476381,-5.645752,-35.552979,-77.362061,33.453125
5480,-5.631162,2.269703,-2.513912,20.996094,-56.274414,-86.608887,33.472656
5520,-2.901772,9.959879,-1.977611,48.553467,-67.352295,-84.503174,33.464844
5560,2.341529,23.774424,-3.418920,-23.590088,-65.643311,-143.249512,33.445312
5600,8.547300,30.166941,-3.797204,-40.740967,-107.269287,-201.141357,33.443359
5640,10.457873,24.253263,-1.594538,-64.575195,-134.979248,-170.928955,33.466797
5680,9.610326,14.202404,0.924162,-30.120850,-124.694824,-84.777832,33.453125
5720,7.718906,5.415684,1.182736,-9.857178,-118.713379,-25.543213,33.455078
5760,6.315904,-1.278504,1.024718,-45.196533,-85.388184,-6.164551,33.435547
5800,4.860229,-5.549759,1.206678,-16.754150,-63.232422,28.289795,33.437500
5840,3.213019,-6.947973,2.346318,24.108887,8.605957,66.040039,33.468750
5880,2.379837,-3.687071,3.107674,54.199219,51.361084,121.154785,33.447266
