MS,Accel X (m/s²),Accel Y (m/s²),Accel Z (m/s²),Gyro X (°/s),Gyro Y (°/s),Gyro Z (°/s),Temp (°C)
0,1.719037,0.574608,-2.375048,-111.968994,170.867920,-146.148682,41.708984
40,17.769766,4.228160,-1.168370,-60.882568,-230.194092,-20.080566,41.707031
80,22.845472,8.738836,3.438074,-164.733887,119.537354,20.050049,41.705078
120,20.499155,6.100426,-0.316035,-129.394531,-49.102783,15.655518,41.708984
160,15.883134,3.509900,0.215478,-118.133545,-82.092285,31.341553,41.697266
200,9.667787,2.767697,-1.168370,-99.090576,31.677246,17.669678,41.687500
240,3.964798,0.004788,-2.777274,15.045166,-9.796143,13.122559,41.705078
280,-1.010353,-3.983952,-2.652776,44.067383,-25.390625,73.883057,41.697266
320,-4.290410,-4.299986,-1.144428,11.779785,-11.077881,72.692871,41.712891
360,0.732626,-2.681506,-0.464475,-72.479248,-63.873291,-125.549316,41.707031
400,22.328325,-1.364695,-4.654328,78.796387,16.418457,1.556396,41.708984
440,23.554157,2.494758,-2.059013,49.041748,-18.768311,17.395020,41.697266
480,18.574217,3.643975,-1.867477,46.203613,-18.096924,-24.963379,41.708984
520,13.532028,3.227384,-0.914585,105.773926,-100.952148,-57.037354,41.693359
560,8.374918,0.502782,2.466028,29.357910,109.588623,-24.139404,41.718750
600,1.599327,-0.320823,0.076614,-0.213623,103.515625,6.164551,41.699219
640,-3.035848,1.709460,-2.451663,-40.344238,-34.332275,51.116943,41.718750
680,-3.394978,2.236184,-0.928950,-84.686279,7.690430,49.316406,41.699219
720,5.592855,2.964022,-1.709460,-144.989014,-13.519287,-193.725586,41.712891
760,24.305935,5.808333,-1.503559,-61.248779,-55.267334,15.655518,41.718750
800,23.760057,7.680599,-0.311246,-182.617188,70.037842,34.423828,41.685547
840,19.086576,5.655105,-1.182736,-95.581055,-58.990479,10.772705,41.724609
880,11.851298,2.686294,-0.814029,-125.732422,56.182861,28.839111,41.722656
920,4.707001,1.154005,-2.466028,-12.939453,39.398193,9.887695,41.703125
960,0.028730,-2.987964,-3.251326,59.722900,4.425049,74.249268,41.714844
1000,-3.050213,-5.468357,-1.843535,33.233643,36.956787,200.378418,41.708984
1040,-2.667141,-3.064578,-0.272939,-21.942139,-41.412354,-56.182861,41.695312
1080,12.368446,-1.398214,-2.480393,-17.272949,12.420654,-246.490479,41.695312
1120,25.852591,4.405331,-2.432509,123.931885,-45.654297,23.162842,41.708984
1160,22.021868,5.339070,0.440533,39.215088,32.318115,-0.976562,41.695312
1200,15.500062,4.333505,0.110133,94.085693,-76.110840,-30.303955,41.693359
1240,10.232818,2.786851,1.565808,104.705811,-10.528564,-39.703369,41.685547
1280,4.927267,0.809240,2.394202,30.303955,43.395996,11.993408,41.675781
1320,-1.053449,1.422156,0.057461,-67.474365,59.722900,40.283203,41.705078
1360,-3.217807,2.001553,-1.441309,-39.459229,3.082275,34.149170,41.695312
1400,0.603339,2.681506,-2.442086,-80.657959,116.027832,-50.750732,41.710938
1440,19.282900,7.350199,-3.131616,-99.212646,-295.471191,-28.778076,41.708984
1480,24.478317,8.207323,0.071826,-172.424316,96.588135,42.327881,41.708984
1520,20.609289,7.747637,-2.183512,-151.672363,-74.890137,13.122559,41.708984
1560,15.011644,3.375824,-0.646434,-162.322998,14.129639,45.135498,41.689453
1600,6.320693,0.967257,-3.758897,-47.912598,-29.541016,25.024414,41.693359
1640,0.339977,-1.819593,-2.911349,41.107178,-8.880615,22.277832,41.699219
1680,-3.002329,-5.224148,-2.130840,63.934326,15.502930,30.059814,41.714844
1720,-1.522712,-5.473145,-2.102109,-6.134033,-79.956055,14.831543,41.701172
1760,11.123461,-0.665588,-1.757344,-20.111084,38.208008,-11.749268,41.689453
1800,22.610842,2.533065,-6.574478,112.426758,-59.265137,-9.979248,41.695312
1840,22.371420,0.952892,-3.418920,45.074463,32.531738,0.305176,41.701172
1880,17.372328,4.007894,-3.399766,98.571777,-75.378418,-75.103760,41.685547
1920,11.602302,3.351882,0.019154,95.886230,50.598145,-84.289551,41.712891
1960,4.453215,1.867477,1.517924,28.045654,85.784912,-60.607910,41.695312
