MS,Accel X (m/s²),Accel Y (m/s²),Accel Z (m/s²),Gyro X (°/s),Gyro Y (°/s),Gyro Z (°/s),Temp (°C)
30000,-0.100556,1.675941,1.235408,4.547119,-90.332031,54.534912,40.193359
30040,3.955221,-0.028730,4.955997,38.299561,-72.875977,11.840820,40.183594
30080,20.178331,-6.789956,-10.448297,-82.489014,-265.350342,138.549805,40.197266
30120,16.419436,-7.216124,-19.340361,-72.692871,97.717285,23.132324,40.210938
30160,8.892065,-3.581726,-14.920665,-124.267578,6.072998,61.645508,40.197266
30200,4.161122,-3.213019,-10.448297,-105.438232,23.315430,70.922852,40.201172
30240,1.503559,-4.204218,-4.022259,-25.482178,40.344238,41.656494,40.205078
30280,3.031059,-4.520253,2.973598,-6.835938,111.267090,54.351807,40.203125
30320,0.158017,-2.791639,4.213795,-19.073486,-7.232666,-32.440186,40.197266
30360,-0.445322,-3.485958,3.653552,56.457520,-11.260986,-79.742432,40.189453
30400,13.752295,-5.980716,1.723825,19.500732,-31.402588,2.655029,40.195312
30440,18.966866,-9.289502,-17.496826,63.354492,-38.818359,-51.452637,40.210938
30480,12.325351,-7.685388,-17.544710,109.039307,-38.085938,-70.556641,40.207031
30520,6.536170,-5.717354,-14.652514,111.511230,-71.716309,-66.680908,40.187500
30560,5.803545,-1.939303,-7.738060,56.823730,-22.430420,-41.748047,40.199219
30600,5.410896,2.322376,-0.675165,20.324707,81.176758,-21.209717,40.208984
30640,4.606444,4.548983,3.093309,23.162842,238.006592,-18.341064,40.201172
30680,2.121263,4.146757,2.466028,-18.585205,182.800293,-12.573242,40.207031
30720,0.459687,1.120486,2.815581,14.404297,-46.020508,9.613037,40.207031
30760,14.460979,-2.853889,1.537078,-88.653564,-515.045166,139.923096,40.216797
30800,19.613300,-8.992621,-17.942148,-54.077148,106.536865,36.926270,40.218750
30840,11.975797,-4.850653,-16.122555,-119.506836,19.775391,42.449951,40.201172
30880,7.072472,-3.002329,-12.061988,-116.516113,19.714355,60.638428,40.216797
30920,2.782062,-3.763685,-6.363788,-68.450928,25.207520,45.806885,40.193359
