MS,Accel X (m/s²),Accel Y (m/s²),Accel Z (m/s²),Gyro X (°/s),Gyro Y (°/s),Gyro Z (°/s),Temp (°C)
1200,8.983045,-1.192312,0.378284,-1.831055,-12.695312,10.101318,30.998047
1240,8.767567,-1.379060,0.349553,-0.244141,-9.613037,8.636475,30.998047
1280,9.236830,-1.307234,0.330400,1.739502,-11.230469,6.011963,31.005859
1320,9.615114,-1.450886,0.430956,0.976562,-13.366699,6.469727,30.992188
1360,9.548077,-1.584962,0.454898,1.251221,-12.634277,5.218506,30.982422
1400,9.806650,-1.833959,0.258574,1.312256,-7.629395,-0.366211,30.998047
1440,10.975020,-2.169147,0.316035,8.361816,0.274658,-10.162354,31.003906
1480,11.554418,-1.738190,0.636858,6.469727,0.305176,-18.035889,30.988281
1520,11.147403,-0.976834,1.082179,-8.605957,16.906738,-26.855469,31.017578
1560,10.481815,-0.612916,-0.818817,-6.072998,9.277344,-26.519775,31.000000
1600,9.193734,-1.537078,-2.825158,-10.528564,-11.627197,-9.429932,30.992188
1640,9.864111,-0.660800,-3.126827,-23.498535,15.625000,-13.153076,30.986328
1680,10.994174,-0.205901,-3.040636,-23.681641,-7.995605,-9.490967,31.023438
1720,11.214440,-1.221043,-1.781286,-11.047363,0.274658,-4.638672,30.984375
1760,10.012551,-0.632069,-0.895431,-9.277344,-3.967285,1.678467,30.998047
1800,8.039729,0.004788,-0.641646,-13.427734,-6.835938,9.155273,31.017578
1840,6.612785,0.014365,-0.756568,-19.805908,-4.058838,16.601562,31.005859
1880,6.689400,-0.129287,-0.909797,-16.632080,1.739502,17.120361,31.007812
1920,8.044518,-0.043096,-1.005565,-3.570557,1.464844,12.237549,31.019531
1960,9.840169,0.014365,-1.197101,-3.997803,8.911133,10.589600,31.013672
2000,11.942278,-0.656011,-1.149217,1.068115,19.226074,15.350342,31.021484
2040,13.077129,-0.612916,-0.627281,8.300781,14.465332,12.908936,31.023438
2080,12.540829,-0.344765,-0.459687,22.521973,16.326904,4.333496,31.003906
2120,11.080365,-1.771709,-1.130063,28.625488,-7.263184,6.988525,30.998047
2160,8.259995,-3.031059,-1.637634,25.573730,-9.460449,7.110596,31.003906
2200,7.747637,-4.007894,-2.308010,25.756836,5.554199,6.652832,31.013672
2240,9.907207,-2.901772,-1.829170,34.423828,-12.451172,-6.958008,31.021484
2280,9.452309,-1.479617,-1.000776,32.928467,-27.221680,-13.122559,31.031250
2320,7.388506,-1.618480,-0.344765,25.177002,-21.087646,-8.239746,31.003906
2360,6.584054,-1.666364,-0.167594,21.362305,-11.596680,-4.455566,31.017578
